,TCGA.3C.AAAU.01,TCGA.3C.AALI.01,TCGA.A1.A0SB.01
mrna_FHL5,0.10123467840843538,-0.6357349427480642,-0.755015115581715
mrna_MIR2277,0.291473634941132,-0.7534303263679297,2.771913040153817
mrna_ZSCAN9,1.0708880462332893,-0.16120360004809622,0.32272195228402795
mrna_GAPLINC,0.3583428410287919,-0.6897268742110472,-1.63094948688365
mrna_PANK1,-0.26810562190236154,-0.9817186614554946,1.0763278948250243
mrna_GALNT11,1.8029540947700522,0.36935944408656035,0.6044350368935563
mrna_CHRNA3,3.109458973916522,2.002383031461909,-0.39272205985794495
mrna_FBRSL1,-0.6706086513677961,1.0135035727447144,0.3532439711622352
mrna_MTAP,-0.1236067218393211,-1.9878860848853988,0.6745335300496875
mrna_TMEM104,0.1686276827896419,1.3706679324423292,-0.3254315092170158
mrna_IMPG2,-1.0736757506941614,1.1313143402084498,0.5639554411765649
mrna_TAF7,-0.6041826032986023,-0.6971584771752976,-0.23205589044698072
mrna_PPM1H,-0.49105741954532023,0.36925723891869916,-0.15542989720493097
mrna_ST3GAL1,-1.946298103772821,-0.06183868336786698,-0.6502628569708253
mrna_SPIRE1,1.8298208261347728,0.4340121304099905,-0.2022123230717741
mrna_LRCH2,-0.2052854223515961,0.2133821203036345,0.850129966422806
mrna_TMC1,-0.2277529080565025,-0.3581262941750232,-0.19977469716337423
mrna_LRRC27,-0.1972130458145064,-0.5639261498671919,0.35717932301458283
mrna_PYY2,0.22834576392017358,3.642867627050477,-0.7274074027437912
mrna_CENPP,-0.651020979281409,-0.19902061183763078,-0.859156306232118
mrna_FAM122A,0.7231441187473838,0.1841438212625717,3.0345332825297637
mrna_HEATR4,1.859394716859896,3.6247851704159135,0.08163047581360154
mrna_RASSF1.AS1,-0.27182386549909304,2.4759047989271417,-0.9529230272782808
mrna_IGBP1,0.35317197375882664,-1.8351173028958818,1.6342842517979368
mrna_ITGAM,-0.7951094706713027,-0.2961369622557218,-1.655646513426145
mrna_FAM87A,-1.0472161012958845,0.063541067574765,0.8375689395888278
mrna_ATOX1,-0.6270403506438587,-0.9787308247174201,-1.717716477294086
mrna_ARHGDIG,0.8361648195484697,0.6628087300546929,0.31568823003929697
mrna_LOC102724301,-0.29173657468296293,-0.10156753634854568,-1.0401477695871428
mrna_PKDCC,0.2071063714660126,-0.6197010241204144,-1.4510504108577573
mrna_ADAM15,0.8651216436906132,-0.5099510202992295,-1.4917926310067477
mrna_CSE1L,1.1639531383114285,0.5188353051855511,-0.7012444140396791
mrna_C15orf38.AP3S2,2.1124571682879387,0.7089013912450723,0.36703689943823525
mrna_MIR6873,-0.3212615684145661,-0.28219326432396286,0.5616535135301388
mrna_TDO2,1.0424094381106594,0.6231223777168694,-0.786765350685801
mrna_THOC1,0.4328713971259166,-0.6204394086676748,0.5593450912812019
mrna_ADORA2B,-1.3583748292307005,0.11909014214493957,1.968001620687445
mrna_GPD1L,-0.8939007186657363,0.6288355804419352,-0.2670738045852107
